query	etalon	label	scores	new_scores	new_scores2
сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию	произошло повышение з/платы в части премии расчет отпускных	0	0.925821244716644	0.0354621410369873	-0.0771704986691475
обязателен ли счет на оплату при наличии спецификации? был заключен договор поставки	обязательный ли спецификация договор поставка	0	0.96444296836853	-0.0182872116565704	-0.0429755188524723
путевой лист в 2025 году можно также вести на бумаге	можно вести трудовую книжку только на бумаге	0	0.920497119426727	0.793434202671051	0.142617747187614
как пополнить р/счет ИП за счет собственных средств? Надо делать договор займа	зачет продукции собственного производства в счет займа	0	0.837503731250763	0.388817846775055	0.101316213607788
есть ли разъяснение для Управляющих компаний как переходить на НДС с 2025	2025 усн ндс переходящая реализация	0	0.90499746799469	0.0229276418685913	0.0147004276514053
заявление сотрудника на отпуск пример	пример написания заявления на отпуск без содержания	0	0.825158894062042	0.109632760286331	-0.0639370381832123
не работает расчетчик по отпускам	онлайн расчетчик отпуска	0	0.689719915390015	-0.038362879306078	-0.0410249717533588
если отпуск с 2 сентября	правило отпуск с 1 сентябрь 2023 год	0	0.961106657981873	0.132065117359161	-0.0330446511507034
калькулятор расчета отпускных, не могу зайти	калькулятор расчет сумма отпускной	0	0.988702178001404	0.961191236972809	0.205990493297577
Сроки перечисления страховых взносов с отпускных	начисление страховой взнос с отпускной	0	0.966740906238556	-0.0411283858120441	-0.0773456320166588
не работает расчетчик компенсации за неиспользованный отпуск	расчетчик день компенсация неиспользованный отпуск	0	0.911410748958588	0.003034527413547	0.00699426140636206
как начисляется отпуск сотрудника работающего пол дня	отпуск сколько положено дней сотрудник работал 8 месяцев	0	0.898439347743988	0.364647209644318	0.0346006788313389
заявление от инвалида о предоставлении удлиненного отпуска	заявление о предоставлении выходных родителю ребенка инвалида	0	0.573827624320984	-0.0343868061900139	-0.0922681018710136
можно ли совместителю оформлять отпуск на 28 дней	может ли совместитель оформить отпуск без содержания	0	0.588771104812622	-0.122866854071617	-0.103014744818211
почему не работает сервис расчет отпускных	расчет отпускной почему использовать федеральный мрот	0	0.950711727142334	0.064669705927372	-0.0122244814410806
Отпускные положены сотруднику, если он увольняется	сотрудник в отпуске, может ли уволится	0	0.336047112941742	0.0089216791093349	-0.00380630418658257
кто должен делать приказ на отпуск гененрального директора?	приказ когда генеральный директор в отпуске на кого возлагают	0	0.921032071113586	-0.0622621588408947	-0.0918042063713074
Добрый день. Образец заявления на отпуск без оплаты	образец заявление отпуск уход	0	0.981396794319153	0.569023966789246	0.0383873917162418
Добрый день. Не работает вкладка Сервис расчёт отпускных.	выплата отпускной 2022 сервис	0	0.939072728157043	0.485707014799118	0.00240319594740868
Добрый день. Продлевает ли отпуск сотрудника больничный с ребенком?	продлеваться ли отпуск сотрудник больничный	0	0.924153864383698	0.694458961486816	-0.0540567114949226
зарабатывают ли отпуск при мобилизации (после приостановления трудового договора)	приостановление действия трудового договора в связи с мобилизацией	0	0.607590317726135	-0.000721241813153	-0.0739626288414001
